“аймкод в видео,"1. Ќасколько ¬ы чувствовали себ€ вовлеченным в игру? (1- совсем нет, 7 - очень сильно)","2. Ќапишите эмоцию, точно описывающее ¬аше состо€ние в этот момент (—ћ. Ћ»—“  ќЋ≈—ќ Ёћќ÷»»)","3. Ќасколько сильно ¬ас это эмоционально затронуло? (1- не затронуло, 7 - сильно затронуло)","4. „увствовали ли ¬ы контроль над ситуацией? (1- совсем нет, 7 - в полной мере)","5. Ѕыло ли это при€тно или непри€тно? (1 - крайне непри€тно, 7 - очень при€тно)","–асскажите подробнее о своих мысл€х и эмоци€х в этот момент игры, а также оставьте любые другие комментарии на своЄ усмотрение.",
00:38:52 Ц 00:39:00,7,ќпасение,7,4,4,,
00:39:07 Ц 00:39:15,7,«адумчивость,7,4,4,,
00:39:44 Ц 00:39:52,7,јгресси€,7,4,4,,
00:39:53 Ц 00:40:01,7,»нтерес,7,4,4,,
00:39:59 Ц 00:40:07,7,ѕечаль,7,4,4,,
00:40:10 Ц 00:40:18,7,√нев,7,2,1,,
00:40:18 Ц 00:40:26,7,√нев,7,3,1,,
00:40:35 Ц 00:40:43,7,ќпасение,7,4,4,,
00:41:59 Ц 00:42:07,7,ќпасение,7,4,6,,
00:42:39 Ц 00:42:47,7,»нтерес,7,7,6,,
00:43:50 Ц 00:43:58,7,»нтерес,7,4,2,,
00:44:15 Ц 00:44:23,7,ќпасение,7,4,4,,
00:44:38 Ц 00:44:46,7,ќпасение,7,4,4,,
00:44:46 Ц 00:44:54,7,ƒосада,7,2,2,,
00:44:47 Ц 00:44:55,7,ƒосада,7,2,2,,
00:44:50 Ц 00:44:58,7,ƒосада,7,2,2,,
00:44:51 Ц 00:44:59,7,√нев,7,1,1,,
00:45:01 Ц 00:45:09,7,√нев,7,1,1,,
00:47:29 Ц 00:47:37,7,»нтерес,7,4,4,,
00:47:36 Ц 00:47:44,7,јгресси€,7,6,6,,
00:47:40 Ц 00:47:48,7,јгресси€,7,6,6,,
00:47:55 Ц 00:48:03,7,јгресси€,7,6,6,,
00:48:09 Ц 00:48:17,7,ќпасение,7,5,5,,
00:48:39 Ц 00:48:47,7,ќпасение,7,4,4,,
00:49:43 Ц 00:49:51,7,»нтерес,7,4,4,,
00:50:32 Ц 00:50:40,7,ќпасение,7,6,6,,
00:50:38 Ц 00:50:46,7,»нтерес,7,4,3,,
00:50:59 Ц 00:51:07,7,ќпасение,7,6,6,,
00:51:10 Ц 00:51:18,7,»нтерес,7,7,7,,
00:51:17 Ц 00:51:25,7,ќпасение,7,5,5,,
00:52:11 Ц 00:52:19,7,—трах,7,1,4,,
00:52:24 Ц 00:52:32,7,јгресси€,7,6,6,,
00:52:28 Ц 00:52:36,7,јгресси€,7,7,7,,
