id,creation_time,anxiety_level,anxiety_score,energy_fatigue,energy_fatigue_score,mood_state,mood_score,self_confidence,self_confidence_score,attention_level,game_focus_level,game_effort_level,max_effort_feeling,time_loss_level,real_world_awareness,daily_stress_relief,presence_awareness,event_noticing_level,stop_and_watch_around,immersion_level,game_detachment_level,emotional_involvement,presence_in_game_world,immersion_level,self_decision_making,game_difficulty_level,want_to_quit,game_motivation_level,game_difficulty_level,game_progress_feeling,game_score_result,emotional_involvement,game_interest_level,game_win_motivation,game_tension_level,immersion_in_game,graphics_rating,game_satisfaction_level,game_interruption_disappointment,play_again,self_feeling_state,experiment_fatigue_level,user_feedback,previous_game_experience,score_count,total_score,test_result
735684,2025-04-20T08:15:08,7. В целом уверен и свободен от беспокойства.,7,"6. Чувствую себя довольно свежим, в меру бодр.",6,"6. Чувствую себя довольно хорошо, «в порядке».",6,8. Очень уверен в своих способностях.,8,7,7,7,5,5,7,5,7,4,2,6,5,1,4,4,7,5,2,6,2,5,4,6,6,7,4,7,7,7,6,7,"Во время игры чувствовал себя отлично, в остальное время раздражали звуки.","Во время игры не хотелось, чтобы эксперимент заканчивался. В остальное время хотелось, чтобы он поскорее закончился.","Игра понравилась, потому что это культовый шутер. ","У меня есть опыт игры, он положительный, так как я люблю шутеры.",27,40,27/40
834979,2025-04-28T05:21:47,10. Совершенное спокойствие. Непоколебимо уверен в себе.,1,"6. Чувствую себя довольно свежим, в меру бодр.",6,7. Чувствую себя очень хорошо. Жизнерадостен.,7,6. Чувствую себя довольно компетентным.,6,5,6,5,2,5,6,7,6,3,4,5,5,6,4,3,7,1,4,6,7,3,6,5,7,7,1,1,7,7,5,7,"Изначально чувствовал себя хорошо, но к концу игры тело затекло и сидеть было дискомфортно. Привык играть с геймпадом, поэтому клавиатура была непривычна.",Шея затекла.,Понравилась,Понравилось играть.,20,40,20/40
443408,2025-04-25T11:19:57,10. Совершенное спокойствие. Непоколебимо уверен в себе.,1,"6. Чувствую себя довольно свежим, в меру бодр.",6,"8. Возбужден, в хорошем расположении духа.",8,"10. Для меня нет ничего невозможного. Смогу сделать все, что хочу.",1,7,7,7,7,4,7,7,5,3,1,7,7,5,7,3,7,1,1,7,7,7,7,7,7,7,1,5,7,7,3,7,"Во время игры чувствовался комфорт. Фоновые звуки были незаметны. Не испытал никаких проблем, разве что иногда хотелось почесать лицо и шею.",Эксперимент показался интересным и захватывающим. После него осталось желание подвигаться из-за долгой неподвижности во время игры.,"Игра очень понравилась! Красочные локации, которые радуют глаз, любимые персонажи, приятные уху голоса и звуки. Музыка идеально подходит для уровней. Игра замечательная!","Я давно знаком с игрой, каждый год перепрохожу ее полностью и рад возвращаться в нее снова.",16,40,16/40
648208,2025-04-17T08:44:20,7. В целом уверен и свободен от беспокойства.,7,5. Слегка устал. Леность. Энергии не хватает.,5,"6. Чувствую себя довольно хорошо, «в порядке».",6,6. Чувствую себя довольно компетентным.,6,4,2,5,3,6,4,7,4,4,1,4,3,3,4,7,7,1,1,7,7,2,7,7,7,7,1,7,7,7,7,7,Все затекло из-за долгого сидения в одном положении.,"Играть хорошо, а звук слушать плохо.","да, просто крутая культовая  сюжетка","Начала играть недавно, очень нравится.",24,40,24/40
841045,2025-04-23T08:14:18,8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,8,"7. Чувствую себя свежим, в запасе значительная энергия.",7,7. Чувствую себя очень хорошо. Жизнерадостен.,7,9. Чувствую большую уверенность в себе. Уверен в своих свершениях.,9,7,7,5,5,7,4,7,4,4,1,7,3,2,3,4,7,2,1,6,5,1,4,6,7,7,5,6,7,7,4,7,Дискомфорта не было.,"Единственное утомительное - когда нет аудио и приходится сидеть с закрытыми глазами, теряя ощущение времени.","Да, интересная сюжетная линия, много диалогов","Смотрел на Ютубе 10 минут, поэтому не перезапустил обучение.",31,40,31/40
373596,2025-04-28T08:00:20,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,6,"6. Чувствую себя довольно свежим, в меру бодр.",6,"6. Чувствую себя довольно хорошо, «в порядке».",6,6. Чувствую себя довольно компетентным.,6,6,5,4,3,5,6,4,5,4,5,5,4,2,2,1,6,3,1,4,5,4,5,3,3,4,1,1,5,6,2,6,Дискомфорта не ощущал.,"Было небольшое утомление, вызванное ограниченностью в движении.","Да, понравилась. Нравиться жанр в целом и сеттинг, в котором выполнена игра, также завлекают механики ведения войны и управления государством.","Да, играл ранее, точно так же, как и во время эксперимента.",24,40,24/40
113244,2025-04-14T07:54:04,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,6,"7. Чувствую себя свежим, в запасе значительная энергия.",7,1. Крайняя депрессия и уныние. Подавлен. Все черно и серо.,1,6. Чувствую себя довольно компетентным.,6,7,7,7,7,1,1,7,7,4,1,7,2,1,1,1,7,7,1,7,3,2,5,3,7,7,7,1,7,4,4,1,Самочувствие было нормальным.,"Эксперимент был утомительным из-за долгой подготовки. Хотелось, чтобы он поскорее закончился. Подготовка заключалась в ожидании у серого экрана.","Не понравилось игра. Просто не моё, не затянула , че то надо ходить собирать в помещениях, не особо заходит.","Раньше играл в подобные игры, сейчас не нравится.",20,40,20/40
45286,2025-04-04T09:57:14,10. Совершенное спокойствие. Непоколебимо уверен в себе.,1,4. Довольно усталый. В запасе не очень много энергии.,4,"6. Чувствую себя довольно хорошо, «в порядке».",6,8. Очень уверен в своих способностях.,8,6,7,5,5,6,7,3,7,4,2,5,1,1,5,5,7,3,1,7,5,6,5,6,6,5,4,1,7,6,5,7,Все хорошо.,"Крестик утомляет, без него нормально.","да, потому что почти победила ","Игра нравится, удалось продвинуться довольно далеко по карте.",19,40,19/40
862274,2025-04-04T04:58:29,8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,8,"6. Чувствую себя довольно свежим, в меру бодр.",6,7. Чувствую себя очень хорошо. Жизнерадостен.,7,"7. Чувствую, что моих способностей достаточно и мои перспективы хороши.",7,7,7,5,4,5,5,6,4,4,2,7,6,4,3,2,7,3,1,5,5,6,5,5,4,6,4,1,7,7,5,7,"Всё было хорошо. Ближе к концу эксперимента почувствовал, что мёрзнут руки, хотя было тепло.","Эксперимент не был утомительным. Желания, чтобы он закончился, не возникало.","Да, я люблю эту игру в первую очередь за геймплей и визуальное и музыкальное оформление. Не очень понравилось управление.","Ранее играл с геймпада, адаптироваться к клавиатуре было тяжело. Первый раз не прошел игру из-за сложности, но со второго раза получилось.",28,40,28/40
761404,2025-04-23T05:26:34,7. В целом уверен и свободен от беспокойства.,7,3. Большая усталость. Вялый. Скудные ресурсы энергии.,3,7. Чувствую себя очень хорошо. Жизнерадостен.,7,8. Очень уверен в своих способностях.,8,7,7,7,7,4,7,2,7,7,5,4,2,3,1,1,7,7,7,7,4,1,3,7,7,7,7,7,7,7,7,7,"Играл хорошо, как у себя дома, пищание в наушниках успокаивало.","Я хотел поиграть подольше, но нельзя двигаться.","Да понравилась, очень крутая графика и атмосфера",Не играл.,25,40,25/40
557394,2025-04-18T10:30:15,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,6,"6. Чувствую себя довольно свежим, в меру бодр.",6,"6. Чувствую себя довольно хорошо, «в порядке».",6,"5. Чувствую, что мои умения и способности несколько ограничены.",5,6,6,5,5,3,4,6,4,4,1,5,5,2,3,2,3,4,1,6,3,1,2,2,5,5,1,1,6,6,3,6,"В целом всё было нормально. Не было сильного дискомфорта. Иногда чувствовалось, что голова зафиксирована.","Утомительными показались моменты, где нужно было сидеть расслабленными. Это вызывало дискомфорт.","игра понравилась, давно хотел попробовать 
до этого не играл, предыдущие части тоже не трогал
плюсы: графика, сеттинг, геймплей (по базе короче)
минусы: ну я тупил немного","Боевая система примитивна - просто нажимаешь одну кнопку, Бэтмен сам притягивается к врагам. В целом прикольно.",23,40,23/40
632847,2025-04-29T05:43:44,8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,8,"6. Чувствую себя довольно свежим, в меру бодр.",6,7. Чувствую себя очень хорошо. Жизнерадостен.,7,8. Очень уверен в своих способностях.,8,6,6,6,5,5,7,5,5,2,2,6,5,4,3,3,7,2,1,6,6,3,4,6,7,7,3,1,7,6,7,7,"К концу эксперимента возникли неудобства из-за малой подвижности. Звук мешал во время кат-сцен, но в остальное время не отвлекал.",После окончания игры было тяжело проходить тесты из-за усталости и скуки. Это было связано с длительностью и однообразием тестов. Глаза устали от экрана.,"Да, стелистикой и атмосферой","Не играл, но был наслышан об игре. Впечатления приятные, доиграл бы до конца.",29,40,29/40
54051,2025-04-03T05:14:05,8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,8,"9. Бьющая через край жизнеспособность, огромная энергия, сильное стремление к деятельности.",9,7. Чувствую себя очень хорошо. Жизнерадостен.,7,8. Очень уверен в своих способностях.,8,7,5,4,4,2,2,7,5,3,3,6,7,3,6,1,7,3,5,5,7,1,5,6,1,7,4,1,7,6,1,7,Чувствовал себя спокойно.,Не устал.,"За 1500 часов все понравилось 
Потому что кубики","Играл в неё 5-6 лет, набрав 1500 часов и добившись почти всего, чего хотел.",32,40,32/40
710022,2025-04-14T11:23:19,10. Совершенное спокойствие. Непоколебимо уверен в себе.,1,"10. Порыв, не знающий преград. Жизненная сила выплескивается через край.",1,"10. Сильный подъем, восторженное веселье.",1,"10. Для меня нет ничего невозможного. Смогу сделать все, что хочу.",1,7,7,7,5,7,7,1,7,7,4,7,3,4,1,1,7,7,1,7,1,7,7,7,7,7,1,1,7,7,1,7,"Самочувствие было хорошее, недомогания и тошноты не было.","Игра понравилась, но сидеть без дела было утомительно.","Конечно понравилась. Она понравилась тем, что очень динамичная, множество различной музыки, которая сопровождает всю игру, разнообразные уровни от самых легких то довольно сложных, она требует концентрации и хорошей реакции.","Играл 3 года назад, входил в топ 10 игроков. Опыта много, но игра все равно интересная.",4,40,4/40
120125,2025-04-19T08:14:51,"5. Несколько озабочен, чувствую себя скованно, немного встревожен.",5,4. Довольно усталый. В запасе не очень много энергии.,4,"6. Чувствую себя довольно хорошо, «в порядке».",6,6. Чувствую себя довольно компетентным.,6,4,5,4,7,3,7,3,6,7,4,5,3,1,2,2,7,1,3,4,7,1,7,4,4,3,1,4,7,4,7,7,Появилась головная боль и онемение шеи из-за малоподвижности. Головная боль могла быть спровоцирована этим.,"Хотелось продолжить, несмотря на усталость. Пикание ускоряет наступление усталости.","Да, мне нравится такой жанр игр","У меня есть положительный первый опыт от игры, но со временем интерес пропадает. Это касается всех игр и длинных сериалов.",21,40,21/40
814770,2025-04-15T08:26:12,8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,8,"6. Чувствую себя довольно свежим, в меру бодр.",6,7. Чувствую себя очень хорошо. Жизнерадостен.,7,"7. Чувствую, что моих способностей достаточно и мои перспективы хороши.",7,5,6,5,7,3,4,2,5,7,3,5,3,1,3,6,5,4,5,4,6,6,5,3,2,5,2,1,5,4,1,5,"В целом всё хорошо, но не хватает подвижности и перерывов, чтобы расслабиться. Сиделось непривычно.","Игровая сессия превысила обычное время, звук-раздражитель стал причиной усталости. Громкость была снижена до 10 пунктов, но звук казался громче. Звук раздражал.","Понравилась динамикой , тем что давно не играл без беспокойства о быту ",Играл для поддержания навыков.,28,40,28/40
483009,2025-04-16T10:50:09,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,6,"6. Чувствую себя довольно свежим, в меру бодр.",6,"6. Чувствую себя довольно хорошо, «в порядке».",6,6. Чувствую себя довольно компетентным.,6,6,5,4,3,2,5,4,4,6,3,3,2,1,1,1,7,1,1,6,6,1,7,4,5,5,1,1,7,7,5,7,"Самочувствие хорошее, дискомфорта нет.",Утомительный из-за пауз для расслабления.,"Да, понравилась, она расслабляет и имеет в себе мало напряжённых моментов",Прошел игру за 50 часов.,24,40,24/40
155121,2025-04-19T11:08:25,8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,8,5. Слегка устал. Леность. Энергии не хватает.,5,"6. Чувствую себя довольно хорошо, «в порядке».",6,6. Чувствую себя довольно компетентным.,6,6,6,7,7,4,7,6,6,5,4,6,6,1,5,1,6,6,1,6,2,4,3,5,4,3,1,1,7,7,4,7,Чувствовал себя нормально. К концу эксперимента появилась небольшая усталость из-за устройств на голове.,"Эксперимент не показался мне сильно утомительным. Утомление вызывало долгое нахождение в одной позе и устройство на голове, причинявшее дискомфорт.","Да
У этой игры интересный геймплей и вариативность; также она требует критического мышления для выбора позиций, манёвров и боя, что заставляло думать каждую секунду игрового процесса 
","Я играл в неё раньше, опыт был положительный, так как нравится оформление и подход к игровому процессу.",25,40,25/40
679594,2025-04-07T08:34:08,7. В целом уверен и свободен от беспокойства.,7,5. Слегка устал. Леность. Энергии не хватает.,5,7. Чувствую себя очень хорошо. Жизнерадостен.,7,"7. Чувствую, что моих способностей достаточно и мои перспективы хороши.",7,7,6,7,7,6,6,4,6,3,2,5,4,3,2,2,7,2,1,5,6,1,7,5,7,6,2,1,6,7,2,7,Во время проверки расслабленного состояния и игры я испытывал раздражение от резкого звука. Также чувствовал возбуждение при сильном напряжении в игре и дискомфорт от долгого сидения.,Эксперимент утомил из-за долгого сидения и ожидания. Приходилось долго сидеть в одной позе и ждать проверки расслабленного состояния. Меня это утомило.,"Мне нравится эта игра своей атмосферой, сюжетом, открытым миром и различными вариантами прохождения",Я хорошо знаю эту игру и умело в ней играю. Каждый раз я прохожу еë с максимальным количеством ресурсов и прокачки. Мне не страшны никакие враги из игры.,26,40,26/40
135304,2025-04-24T11:35:02,10. Совершенное спокойствие. Непоколебимо уверен в себе.,1,4. Довольно усталый. В запасе не очень много энергии.,4,"6. Чувствую себя довольно хорошо, «в порядке».",6,"7. Чувствую, что моих способностей достаточно и мои перспективы хороши.",7,6,7,5,3,5,4,6,4,3,4,6,5,3,5,3,6,4,1,6,4,2,5,4,6,6,3,1,7,6,4,7,"Я чувствовала расслабление и лёгкое головокружение, но в целом всё было хорошо.",Было скучно смотреть в одну точку.,"да, игра понравилась, я буду играть в нее еще","Я играла всего час, но меня уже затянуло.",18,40,18/40
447885,2025-04-25T07:57:28,7. В целом уверен и свободен от беспокойства.,7,"6. Чувствую себя довольно свежим, в меру бодр.",6,"8. Возбужден, в хорошем расположении духа.",8,8. Очень уверен в своих способностях.,8,7,6,4,7,6,4,6,7,4,2,7,6,5,5,6,7,3,1,6,5,3,5,6,6,7,5,2,7,7,4,7,Шея затекает под конец игры из-за тяжёлых датчиков.,"Желания закончить не было, лишь небольшой дискомфорт.","Игра понравилась возможностью погрузиться в поток, и проверить себя на анализ окружения в стрессовой ситуации","Много раз играл в эту игру и всегда возвращаюсь к ней, чтобы отвлечься. Впечатления положительные.",29,40,29/40
355835,2025-04-22T11:13:34,8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,8,"8. Много энергии, сильная потребность в действии.",8,"8. Возбужден, в хорошем расположении духа.",8,"10. Для меня нет ничего невозможного. Смогу сделать все, что хочу.",1,7,7,5,3,7,3,7,3,3,1,6,5,4,6,4,7,1,1,6,7,5,7,7,7,5,4,3,7,7,7,7,"Физическое и эмоциональное состояние было отличным, недомоганий не было.","Эксперимент показался мне интересным. После его окончания появилось ощущение, что я была в трансе, далеко от реальности.","мне понравилась игра, для меня очень увлекательно строить дома и проявлять креатив. в моменте я даже была настолько погружена в игру, что не слышала никаких звуков в нацшниках","Я играла в Симс 4 и больше всего мне нравится строить дома. Обычно я играю за строителя, а не как в симулятор жизни.",25,40,25/40
587707,2025-04-21T07:49:00,8. Ощущение полного благополучия. Уверен и чувствую себя непринужденно.,8,4. Довольно усталый. В запасе не очень много энергии.,4,7. Чувствую себя очень хорошо. Жизнерадостен.,7,"10. Для меня нет ничего невозможного. Смогу сделать все, что хочу.",1,5,6,5,5,6,7,5,4,4,6,5,6,2,1,3,5,3,2,4,5,4,4,4,6,4,1,2,5,6,6,7,Стал зевать и чихнул на папу. Чихнул на замере в конце.,"Единственное, что утомительно, - это расслабиться.",Да понравилась. Просто хорошая игра,"Я играл в сиквел игры, используя вики для прохождения. Играл с периферией Lenovo.",20,40,20/40
105832,2025-03-22T10:16:15,"9. Исключительно хладнокровен, на редкость уверен и не волнуюсь.",9,"6. Чувствую себя довольно свежим, в меру бодр.",6,"6. Чувствую себя довольно хорошо, «в порядке».",6,9. Чувствую большую уверенность в себе. Уверен в своих свершениях.,9,5,6,5,4,6,4,6,6,2,2,5,5,2,3,3,7,5,3,5,2,2,3,5,5,7,5,1,6,6,4,6,"Самочувствие было хорошим. Сначала было небольшое волнение, затем дискомфорт прошёл.",Утомления нет.,"Игра понравилась, хорошее визуальное оформления, довольно интересный и в тоже время сложный геймплей","Играл в эту игру раньше, впечатления были положительные.",30,40,30/40
265094,2025-04-05T05:01:40,7. В целом уверен и свободен от беспокойства.,7,4. Довольно усталый. В запасе не очень много энергии.,4,"5. Чувствую себя чуть-чуть подавленно, «так себе».",5,6. Чувствую себя довольно компетентным.,6,6,6,4,6,5,6,2,6,5,6,6,3,5,3,1,6,4,1,6,4,2,4,4,2,7,5,1,5,5,6,4,"Раздражение вызвал тикающий звук и невозможность заблокировать CapsLock, физических ощущений не было.",Всё нормально.,"Да, но я уже ее проходила ранее ","Играла давно, с перерывами. Подзабыла управление и механику. Игра нормальная.",22,40,22/40
93056,2025-04-02T09:05:03,10. Совершенное спокойствие. Непоколебимо уверен в себе.,1,"9. Бьющая через край жизнеспособность, огромная энергия, сильное стремление к деятельности.",9,"9. Возбужден, в приподнятом состоянии. Восторженность.",9,9. Чувствую большую уверенность в себе. Уверен в своих свершениях.,9,7,7,7,6,7,3,7,3,3,1,6,6,7,6,7,7,4,1,7,6,6,5,7,3,7,2,6,7,7,5,7,Не чувствовал дискомфорта. Перестал замечать необычные условия игры.,Желание быстрее закончить эксперимент появлялось только после окончания игрового сеанса из-за накопившегося утомления. Оно было связано с усталостью после игры. Утомление вызывало желание завершения эксперимента.,"Да, потому что в эту игру я уже играл ранее и она является моей любимой. Всегда приятно в неё возвращаться.","Эта игра - одна из моих любимых. Проходил её более 10 раз, изучая мир и историю.",28,40,28/40
527415,2025-04-15T10:36:52,6. Ничто особенно не беспокоит меня. Чувствую себя более или менее непринужденно.,6,"6. Чувствую себя довольно свежим, в меру бодр.",6,7. Чувствую себя очень хорошо. Жизнерадостен.,7,9. Чувствую большую уверенность в себе. Уверен в своих свершениях.,9,5,5,5,4,4,7,3,7,6,4,6,4,2,3,2,4,1,1,6,7,2,6,4,6,6,1,1,7,7,6,7,Появилось онемение мизинцев и боль от раздражающего звука. Стала болеть голова.,"Хотелось, чтобы прекратился раздражающий звук. Ничего утомительного больше не было.","Понравилась своим сюжетом, визуальным оформлением, заданиями","Одна из моих любимых серий игр, интересная и динамичная.",28,40,28/40
825526,2025-05-03T08:44:10,7. В целом уверен и свободен от беспокойства.,7,"7. Чувствую себя свежим, в запасе значительная энергия.",7,7. Чувствую себя очень хорошо. Жизнерадостен.,7,"7. Чувствую, что моих способностей достаточно и мои перспективы хороши.",7,6,7,4,3,5,5,7,5,4,2,6,5,3,3,4,6,3,1,5,4,1,5,5,6,6,3,1,6,5,6,5,Через 20 минут стало некомфортно сидеть в кресле. Засиделся в одной позе.,Терпения хватало. Было не слишком утомительно.,"Игра в целом понравилась картинкой, озвучкой и свободой действий","Не играл в Ведьмак 3, решил попробовать. Оказалось интересно.",28,40,28/40
907623,2025-04-22T05:11:48,7. В целом уверен и свободен от беспокойства.,7,"7. Чувствую себя свежим, в запасе значительная энергия.",7,7. Чувствую себя очень хорошо. Жизнерадостен.,7,"7. Чувствую, что моих способностей достаточно и мои перспективы хороши.",7,5,4,4,3,5,5,4,6,6,4,4,4,2,3,3,7,4,3,3,4,6,5,3,4,7,5,1,6,5,4,7,"Самочувствие было в порядке, недомоганий не было.",Утомление связано с частыми проверками с открытыми и закрытыми глазами. В целом я не утомился.,"Эта игра мне нравится, но во время эксперемента случились неполадки с интернетом и игра по сети была не доступна, поэтому я просто проходил локальные карты",Я играл в эту игру раньше и знаком с ней. Она осталась интересной благодаря игре по сети.,28,40,28/40
